source,target,type
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1463,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1464,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1465,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1467,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1468,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1411,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1468,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1469,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1470,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:295,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1470,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:297,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1472,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1452,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1478,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1479,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1478,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1480,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1478,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1481,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1482,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1484,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1485,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1487,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1488,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1491,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1488,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1492,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1493,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:296,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1494,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1411,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1494,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1496,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1497,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1498,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1497,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1499,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1500,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1503,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1504,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1411,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1504,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1507,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1508,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1510,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1508,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1511,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1512,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:292,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1512,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:295,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1514,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1515,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1516,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:295,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1517,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:295,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1519,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:295,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1522,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:295,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1525,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:295,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1527,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:290,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1527,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1411,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1528,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1530,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:298,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1407,ASSOCIATED_WITH
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:299,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1426,ASSOCIATED_WITH
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1534,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1404,ASSOCIATED_WITH
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1535,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1404,ASSOCIATED_WITH
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1536,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1404,ASSOCIATED_WITH
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1541,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1407,ASSOCIATED_WITH
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1541,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1408,ASSOCIATED_WITH
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1542,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1407,ASSOCIATED_WITH
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1542,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1408,ASSOCIATED_WITH
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1542,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1454,ASSOCIATED_WITH
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1542,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1473,ASSOCIATED_WITH
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1542,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1509,ASSOCIATED_WITH
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1542,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1526,ASSOCIATED_WITH
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1543,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1407,ASSOCIATED_WITH
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1543,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1408,ASSOCIATED_WITH
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1543,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1473,ASSOCIATED_WITH
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1546,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1413,ASSOCIATED_WITH
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1546,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1414,ASSOCIATED_WITH
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1546,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1415,ASSOCIATED_WITH
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1546,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1416,ASSOCIATED_WITH
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1547,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1413,ASSOCIATED_WITH
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1547,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1414,ASSOCIATED_WITH
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1547,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1415,ASSOCIATED_WITH
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1547,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1416,ASSOCIATED_WITH
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1548,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1413,ASSOCIATED_WITH
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1548,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1414,ASSOCIATED_WITH
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1548,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1415,ASSOCIATED_WITH
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1548,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1416,ASSOCIATED_WITH
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1549,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1413,ASSOCIATED_WITH
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1549,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1414,ASSOCIATED_WITH
